DATE,BAA10Y_PCH
6/16/21,-2.55102
6/17/21,-3.66492
6/18/21,0.54348
6/21/21,1.62162
6/22/21,1.06383
6/23/21,-0.52632
6/24/21,-0.5291
6/25/21,1.06383
6/28/21,-1.05263
6/29/21,-0.53191
6/30/21,0
7/1/21,-0.53476
7/2/21,0.53763
7/7/21,-0.52632
7/8/21,1.0582
7/9/21,0
7/12/21,0
7/13/21,0
7/14/21,0
7/15/21,0.52356
7/16/21,0.52083
7/19/21,2.07254
7/20/21,0.50761
7/21/21,-1.0101
7/22/21,-0.5102
7/23/21,-1.02564
7/26/21,0.51813
7/27/21,0.51546
7/28/21,0.51282
7/29/21,-1.02041
7/30/21,0.51546
8/2/21,0
8/3/21,1.02564
8/4/21,-0.50761
8/5/21,-0.5102
8/6/21,-0.51282
8/9/21,0.51546
8/10/21,0
8/11/21,2.05128
8/12/21,0
8/13/21,-0.50251
8/16/21,-0.50505
8/17/21,0.50761
8/18/21,-0.50505
8/19/21,0.50761
8/20/21,-1.0101
8/23/21,0.5102
8/24/21,-1.01523
8/25/21,-1.02564
8/26/21,-0.51813
8/27/21,0
8/30/21,0
8/31/21,1.04167
9/1/21,-1.03093
9/2/21,0
9/3/21,-0.52083
9/8/21,0
9/9/21,-0.52356
9/10/21,-1.05263
9/13/21,-0.53191
9/14/21,0
9/15/21,-1.06952
9/16/21,-0.54054
9/17/21,-0.54348
9/20/21,0.54645
9/21/21,-0.54348
9/22/21,0
9/23/21,-1.0929
9/24/21,-0.55249
9/27/21,-1.11111
9/28/21,1.1236
9/29/21,0.55556
9/30/21,2.20994
10/1/21,0
10/4/21,0
10/5/21,-0.54054
10/6/21,0
10/7/21,0.54348
10/8/21,-0.54054
10/13/21,-1.64835
10/14/21,1.11732
10/15/21,-2.76243
10/18/21,-2.27273
10/19/21,0
10/20/21,1.74419
10/21/21,-0.57143
10/22/21,-1.14943
10/25/21,0.5814
10/26/21,-1.15607
10/27/21,-1.16959
10/28/21,0
10/29/21,0
11/1/21,0
11/2/21,1.18343
11/3/21,-0.5848
11/4/21,1.76471
11/5/21,0
11/8/21,-3.46821
11/9/21,0
11/10/21,-0.5988
11/15/21,0.59172
11/16/21,1.17647
11/17/21,1.16279
11/18/21,-0.57471
11/19/21,0
11/22/21,-1.15607
11/23/21,1.16959
11/24/21,-0.57803
11/29/21,-0.54945
11/30/21,0
12/1/21,0
12/2/21,-0.55249
12/3/21,0.55556
12/6/21,-1.10497
12/7/21,-2.23464
12/8/21,2.28571
12/9/21,1.11732
12/10/21,1.10497
12/13/21,-0.54645
12/14/21,0
12/15/21,0.54945
12/16/21,2.18579
12/17/21,0
12/20/21,1.06952
12/21/21,-0.5291
12/22/21,-1.06383
12/23/21,0
12/28/21,0
12/29/21,-0.53763
12/30/21,0
1/4/22,1.0989
1/5/22,-2.17391
1/6/22,-1.11111
1/7/22,0
1/10/22,-1.1236
1/11/22,0
1/12/22,0.56818
1/13/22,1.69492
1/14/22,-0.55556
1/19/22,-0.5618
1/20/22,1.12994
1/21/22,2.7933
1/24/22,2.71739
1/25/22,1.0582
1/26/22,-3.66492
1/27/22,1.08696
1/28/22,2.68817
1/31/22,1.04712
2/1/22,-0.51813
2/2/22,-0.52083
2/3/22,0.52356
2/4/22,0
2/7/22,0.52083
2/8/22,-1.03627
2/9/22,0.52356
2/10/22,-0.52083
2/11/22,4.71204
2/14/22,0
2/15/22,-0.5
2/16/22,3.01508
2/17/22,3.41463
2/18/22,0.4717
2/23/22,-1.40845
2/24/22,6.66667
2/25/22,-1.78571
2/28/22,6.36364
3/1/22,-3.84615
3/2/22,-0.44444
3/3/22,0
3/4/22,3.125
3/7/22,0.4329
3/8/22,1.2931
3/9/22,-1.2766
3/10/22,2.58621
3/11/22,-1.2605
3/14/22,-0.85106
3/15/22,1.28755
3/16/22,-5.50847
3/17/22,-2.69058
3/18/22,-1.38249
3/21/22,-3.27103
3/22/22,-0.96618
3/23/22,-0.97561
3/24/22,-0.98522
3/25/22,-2.48756
3/28/22,-1.02041
3/29/22,-1.54639
3/30/22,1.04712
3/31/22,0
4/1/22,-6.21762
4/4/22,0
4/5/22,-2.20994
4/6/22,0
4/7/22,0.56497
4/8/22,0
4/11/22,2.24719
4/12/22,5.49451
4/13/22,1.04167
4/14/22,-0.51546
4/19/22,-1.54639
4/20/22,0
4/21/22,1.04712
4/22/22,1.5544
4/25/22,3.57143
4/26/22,1.47783
4/27/22,-0.48544
4/28/22,0.4878
4/29/22,-0.48544
5/2/22,1.46341
5/3/22,-1.44231
5/4/22,1.46341
5/5/22,0.96154
5/6/22,-0.47619
5/9/22,3.82775
5/10/22,-0.46083
5/11/22,0.46296
5/12/22,1.38249
5/13/22,1.81818
5/16/22,2.23214
5/17/22,-0.87336
5/18/22,1.76211
5/19/22,2.5974
5/20/22,-0.42194
5/23/22,-1.27119
5/24/22,0.42918
5/25/22,-2.13675
5/26/22,-1.74672
5/27/22,0.44444
6/1/22,-4.58716
6/2/22,0.96154
6/3/22,-0.47619
6/6/22,-0.47847
6/7/22,-0.48077
6/8/22,0
6/9/22,0
6/10/22,-1.44928
6/13/22,-2.94118
6/14/22,0.50505
6/15/22,5.52764
6/16/22,1.42857
6/17/22,0
6/22/22,1.87793
6/23/22,1.38249
6/24/22,0.90909
6/27/22,-1.35135
6/28/22,1.36986
6/29/22,0.9009
6/30/22,3.125
7/1/22,4.7619
7/6/22,-0.82988
7/7/22,-2.51046
7/8/22,-0.85837
7/11/22,0.4329
7/12/22,-0.43103
7/13/22,0.4329
7/14/22,-0.43103
7/15/22,-0.4329
7/18/22,-0.86957
7/19/22,-0.87719
7/20/22,-2.65487
7/21/22,1.36364
7/22/22,2.24215
7/25/22,1.31579
7/26/22,-0.8658
7/27/22,0.43668
7/28/22,5.21739
7/29/22,-2.47934
8/1/22,0.84746
8/2/22,-3.78151
8/3/22,0
8/4/22,1.31004
8/5/22,-1.2931
8/8/22,-1.31004
8/9/22,0
8/10/22,1.32743
8/11/22,0
8/12/22,-0.87336
8/15/22,0
8/16/22,0
8/17/22,-1.32159
8/18/22,0
8/19/22,0.44643
8/22/22,-0.44444
8/23/22,0
8/24/22,-0.44643
8/25/22,-0.89686
8/26/22,-0.90498
8/29/22,0
8/30/22,-0.91324
8/31/22,0.46083
9/1/22,1.83486
9/2/22,0.9009
9/7/22,-1.32159
9/8/22,0.44643
9/9/22,-2.22222
9/12/22,0
9/13/22,-0.90909
9/14/22,-1.37615
9/15/22,-1.39535
9/16/22,2.83019
9/19/22,-1.37615
9/20/22,-0.93023
9/21/22,-0.46948
9/22/22,-1.88679
9/23/22,0.48077
9/26/22,-3.82775
9/27/22,3.48259
9/28/22,8.17308
9/29/22,0.88889
9/30/22,-1.32159
10/3/22,2.23214
10/4/22,-0.87336
10/5/22,-2.20264
10/6/22,-2.7027
10/7/22,0.46296
10/12/22,1.79372
10/13/22,0.44053
10/14/22,0
10/17/22,0
10/18/22,0
10/19/22,-1.31579
10/20/22,-0.44444
10/21/22,5.35714
10/24/22,-0.84746
10/25/22,1.28205
10/26/22,-1.68776
10/27/22,0.42918
10/28/22,-1.7094
10/31/22,-0.86957
11/1/22,-2.63158
11/2/22,-1.8018
11/3/22,0.45872
11/4/22,1.36986
11/7/22,0
11/8/22,0.45045
11/9/22,4.4843
11/10/22,1.28755
11/15/22,-1.76211
11/16/22,0.44843
11/17/22,-2.67857
11/18/22,-2.29358
11/21/22,-2.34742
11/22/22,-0.48077
11/23/22,-2.41546
11/28/22,-0.48544
11/29/22,0.4878
11/30/22,4.36893
12/1/22,-2.7907
12/2/22,-2.87081
12/5/22,-1.97044
12/6/22,-1.00503
12/7/22,-1.01523
12/8/22,-2.05128
12/9/22,-0.52356
12/12/22,-1.05263
12/13/22,1.59574
12/14/22,2.09424
12/15/22,1.02564
12/16/22,0.50761
12/19/22,0
12/20/22,0.50505
12/21/22,1.00503
12/22/22,-0.99502
12/23/22,0.50251
12/28/22,-0.49505
12/29/22,0
12/30/22,-0.99502
1/4/23,1.97044
1/5/23,-1.93237
1/6/23,1.97044
1/9/23,-2.41546
1/10/23,0
1/11/23,-1.48515
1/12/23,-1.00503
1/13/23,-1.01523
1/18/23,2.6178
1/19/23,1.53061
1/20/23,-0.50251
1/23/23,-1.0101
1/24/23,-1.02041
1/25/23,1.03093
1/26/23,-2.55102
1/27/23,-1.57068
1/30/23,-0.53191
1/31/23,1.60428
2/1/23,0.52632
2/2/23,-1.57068
2/3/23,-2.65957
2/6/23,-3.27869
2/7/23,0.56497
2/8/23,2.80899
2/9/23,0.54645
2/10/23,0.54348
2/13/23,-0.54054
2/14/23,-1.63043
2/15/23,0.55249
2/16/23,1.0989
2/17/23,2.71739
2/22/23,-1.06952
2/23/23,0.54054
2/24/23,0
2/27/23,0.53763
2/28/23,1.60428
3/1/23,-3.15789
3/2/23,-1.08696
3/3/23,-1.64835
3/6/23,0
3/7/23,0
3/8/23,0
3/9/23,3.35196
3/10/23,5.94595
3/13/23,9.18367
3/14/23,-1.40187
3/15/23,5.21327
3/16/23,-2.7027
3/17/23,2.31481
3/20/23,-0.90498
3/21/23,-3.65297
3/22/23,2.36967
3/23/23,4.62963
3/24/23,-0.88496
