"Date","Price","Open","High","Low","Vol.","Change %"
"11/16/2021","1,731.10","1,731.10","1,731.11","1,731.10","","-0.29%"
"11/15/2021","1,736.18","1,735.68","1,737.42","1,734.59","","0.09%"
"11/12/2021","1,734.57","1,734.03","1,737.23","1,733.04","","-0.04%"
"11/11/2021","1,735.18","1,733.69","1,737.30","1,731.10","","-0.03%"
"11/10/2021","1,735.78","1,738.74","1,739.89","1,733.37","","-0.19%"
"11/09/2021","1,739.16","1,735.16","1,740.25","1,733.30","","0.23%"
"11/08/2021","1,735.15","1,735.16","1,735.17","1,735.15","","0.19%"
"11/05/2021","1,731.91","1,729.62","1,734.12","1,728.23","","0.05%"
"11/04/2021","1,731.09","1,731.77","1,732.40","1,728.70","","0.12%"
"11/03/2021","1,729.05","1,728.32","1,731.35","1,725.57","","-0.04%"
"11/02/2021","1,729.66","1,728.54","1,729.86","1,728.13","","0.05%"
"11/01/2021","1,728.72","1,730.42","1,730.65","1,727.92","","-0.22%"
"10/29/2021","1,732.50","1,735.37","1,735.49","1,728.73","","-0.06%"
"10/28/2021","1,733.60","1,734.08","1,735.84","1,732.21","","-0.03%"
"10/27/2021","1,734.06","1,738.76","1,738.88","1,733.03","","-0.21%"
"10/26/2021","1,737.70","1,736.92","1,740.40","1,736.31","","0.07%"
"10/25/2021","1,736.52","1,732.96","1,737.33","1,732.63","","0.27%"
"10/22/2021","1,731.77","1,731.19","1,734.76","1,730.08","","-0.01%"
"10/21/2021","1,731.94","1,734.89","1,735.46","1,730.31","","-0.17%"
"10/20/2021","1,734.90","1,734.92","1,735.75","1,732.12","","0.18%"
"10/19/2021","1,731.77","1,725.93","1,735.45","1,725.74","","0.42%"
"10/18/2021","1,724.45","1,728.14","1,728.20","1,723.73","","-0.19%"
"10/15/2021","1,727.68","1,725.33","1,728.62","1,724.28","","0.26%"
"10/14/2021","1,723.13","1,723.45","1,724.79","1,721.42","","0.27%"
"10/13/2021","1,718.45","1,716.05","1,723.07","1,716.02","","0.19%"
"10/12/2021","1,715.24","1,716.32","1,717.13","1,713.85","","-0.21%"
"10/11/2021","1,718.92","1,718.54","1,720.69","1,716.11","","-0.01%"
"10/08/2021","1,719.12","1,720.56","1,721.19","1,717.38","","-0.07%"
"10/07/2021","1,720.36","1,720.38","1,722.76","1,719.86","","0.15%"
"10/06/2021","1,717.73","1,723.12","1,723.13","1,716.28","","-0.21%"
"10/05/2021","1,721.27","1,723.20","1,723.69","1,721.27","","-0.07%"
"10/04/2021","1,722.44","1,728.23","1,728.37","1,722.44","","-0.08%"
"10/01/2021","1,723.78","1,723.52","1,728.30","1,721.53","","0.09%"
"09/30/2021","1,722.26","1,720.08","1,725.66","1,719.76","","-0.01%"
"09/29/2021","1,722.51","1,722.90","1,724.11","1,718.85","","-0.10%"
"09/28/2021","1,724.22","1,728.81","1,728.81","1,721.68","","-0.28%"
"09/27/2021","1,729.11","1,728.16","1,730.91","1,726.92","","0.02%"
"09/24/2021","1,728.80","1,731.35","1,731.93","1,726.03","","-0.18%"
"09/23/2021","1,731.87","1,728.70","1,734.22","1,726.41","","0.11%"
"09/22/2021","1,729.90","1,727.88","1,731.01","1,726.68","","-0.03%"
"09/21/2021","1,730.35","1,726.28","1,730.35","1,725.53","","0.03%"
"09/20/2021","1,729.76","1,728.64","1,729.76","1,724.02","","-0.13%"
"09/17/2021","1,731.99","1,733.20","1,735.31","1,727.95","","-0.20%"
"09/16/2021","1,735.49","1,740.72","1,740.82","1,732.71","","-0.17%"
"09/15/2021","1,738.36","1,737.37","1,740.40","1,735.64","","0.07%"
"09/14/2021","1,737.17","1,737.73","1,740.02","1,736.41","","0.05%"
"09/13/2021","1,736.24","1,737.84","1,737.84","1,733.89","","-0.15%"
"09/10/2021","1,738.80","1,737.18","1,741.84","1,735.51","","0.17%"
"09/09/2021","1,735.80","1,733.24","1,737.02","1,732.18","","0.10%"
"09/08/2021","1,734.03","1,738.41","1,738.42","1,732.78","","-0.32%"
"09/07/2021","1,739.62","1,742.57","1,742.64","1,736.46","","-0.16%"
"09/06/2021","1,742.41","1,742.07","1,742.65","1,740.78","","0.05%"
"09/03/2021","1,741.61","1,739.78","1,744.86","1,738.79","","0.14%"
"09/02/2021","1,739.26","1,739.42","1,740.90","1,737.42","","-0.01%"
"09/01/2021","1,739.42","1,738.58","1,740.20","1,736.99","","0.03%"
"08/31/2021","1,738.96","1,732.41","1,740.51","1,731.96","","0.36%"
"08/30/2021","1,732.78","1,730.38","1,733.33","1,729.78","","0.35%"
"08/27/2021","1,726.81","1,722.23","1,730.31","1,720.99","","0.28%"
"08/26/2021","1,721.95","1,725.77","1,725.85","1,721.75","","-0.10%"
"08/25/2021","1,723.69","1,724.54","1,725.27","1,722.43","","0.02%"
"08/24/2021","1,723.27","1,718.77","1,724.45","1,717.80","","0.40%"
"08/23/2021","1,716.36","1,713.02","1,718.94","1,712.91","","0.31%"
"08/20/2021","1,711.14","1,712.83","1,714.53","1,708.54","","-0.17%"
"08/19/2021","1,714.10","1,718.99","1,719.00","1,711.72","","-0.45%"
"08/18/2021","1,721.85","1,718.61","1,722.78","1,718.19","","0.07%"
"08/17/2021","1,720.57","1,724.78","1,724.90","1,718.12","","-0.23%"
"08/16/2021","1,724.53","1,725.83","1,725.96","1,723.26","","0.06%"
"08/13/2021","1,723.57","1,724.31","1,726.20","1,721.94","","-0.09%"
"08/12/2021","1,725.18","1,727.78","1,727.86","1,723.33","","0.00%"
"08/11/2021","1,725.13","1,724.97","1,728.20","1,723.16","","-0.03%"
"08/10/2021","1,725.65","1,725.80","1,726.64","1,723.15","","-0.05%"
"08/09/2021","1,726.52","1,727.60","1,729.17","1,724.44","","-0.18%"
"08/06/2021","1,729.72","1,732.69","1,732.93","1,726.16","","-0.30%"
"08/05/2021","1,734.86","1,733.71","1,735.88","1,731.99","","0.12%"
"08/04/2021","1,732.80","1,731.41","1,736.80","1,730.80","","0.17%"
"08/03/2021","1,729.84","1,730.26","1,732.48","1,728.33","","-0.12%"
"08/02/2021","1,731.96","1,728.49","1,732.15","1,726.81","","0.12%"
"07/30/2021","1,729.86","1,733.83","1,733.91","1,727.64","","-0.14%"
"07/29/2021","1,732.32","1,726.17","1,734.56","1,725.57","","0.61%"
"07/28/2021","1,721.82","1,720.07","1,725.80","1,719.52","","0.00%"
"07/27/2021","1,721.84","1,723.64","1,725.22","1,718.36","","-0.04%"
"07/26/2021","1,722.54","1,723.01","1,723.80","1,719.79","","-0.10%"
"07/23/2021","1,724.35","1,724.73","1,725.68","1,721.81","","-0.06%"
"07/22/2021","1,725.40","1,725.79","1,727.03","1,723.51","","0.21%"
"07/21/2021","1,721.73","1,722.66","1,725.68","1,720.55","","0.02%"
"07/20/2021","1,721.44","1,719.42","1,723.09","1,718.66","","-0.06%"
"07/19/2021","1,722.40","1,727.85","1,727.85","1,718.48","","-0.45%"
"07/16/2021","1,730.11","1,729.67","1,730.11","1,726.89","","-0.01%"
"07/15/2021","1,730.25","1,729.06","1,731.92","1,727.72","","0.18%"
"07/14/2021","1,727.22","1,723.63","1,729.52","1,722.78","","0.02%"
"07/13/2021","1,726.96","1,727.13","1,728.37","1,722.73","","0.09%"
"07/12/2021","1,725.43","1,725.64","1,726.22","1,722.17","","0.15%"
"07/09/2021","1,722.84","1,721.85","1,725.28","1,720.58","","0.03%"
"07/08/2021","1,722.29","1,726.30","1,726.73","1,719.22","","-0.26%"
"07/07/2021","1,726.74","1,727.36","1,729.61","1,723.55","","-0.25%"
"07/06/2021","1,730.99","1,734.14","1,736.39","1,725.98","","-0.25%"
"07/05/2021","1,735.32","1,733.81","1,736.42","1,733.28","","0.28%"
"07/02/2021","1,730.50","1,732.63","1,734.40","1,727.80","","-0.21%"
"07/01/2021","1,734.08","1,737.82","1,738.01","1,731.22","","-0.21%"
"06/30/2021","1,737.75","1,737.20","1,740.10","1,735.88","","-0.07%"
"06/29/2021","1,738.91","1,740.42","1,740.59","1,735.54","","-0.07%"
"06/28/2021","1,740.16","1,740.54","1,741.01","1,737.56","","-0.06%"
"06/25/2021","1,741.22","1,737.90","1,743.17","1,736.72","","0.32%"
"06/24/2021","1,735.64","1,734.29","1,738.22","1,731.79","","0.15%"
"06/23/2021","1,733.06","1,733.59","1,736.07","1,730.73","","0.06%"
"06/22/2021","1,732.07","1,734.36","1,735.60","1,729.29","","-0.05%"
"06/21/2021","1,732.91","1,734.43","1,734.91","1,729.43","","-0.29%"
"06/18/2021","1,737.91","1,739.11","1,741.80","1,734.34","","-0.22%"
"06/17/2021","1,741.69","1,745.19","1,747.30","1,736.79","","-0.68%"
"06/16/2021","1,753.55","1,752.61","1,754.63","1,744.67","","0.10%"
"06/15/2021","1,751.77","1,752.92","1,754.70","1,749.58","","-0.16%"
"06/14/2021","1,754.56","1,752.66","1,754.56","1,750.59","","-0.06%"
"06/11/2021","1,755.59","1,756.35","1,758.95","1,751.14","","0.01%"
"06/10/2021","1,755.39","1,753.62","1,756.81","1,753.62","","0.03%"
"06/09/2021","1,754.86","1,755.13","1,757.72","1,753.67","","-0.03%"
"06/08/2021","1,755.39","1,756.40","1,757.06","1,753.47","","0.00%"
"06/07/2021","1,755.32","1,757.09","1,757.52","1,754.23","","0.18%"
"06/04/2021","1,752.24","1,751.31","1,756.38","1,748.91","","-0.06%"
"06/03/2021","1,753.33","1,755.00","1,757.22","1,750.21","","0.01%"
"06/02/2021","1,753.14","1,754.31","1,756.32","1,749.18","","-0.10%"
"06/01/2021","1,754.97","1,755.62","1,757.04","1,752.06","","0.01%"
"05/31/2021","1,754.75","1,752.69","1,757.19","1,751.82","","0.15%"
"05/28/2021","1,752.17","1,747.91","1,752.92","1,747.54","","0.17%"
"05/27/2021","1,749.15","1,746.09","1,749.54","1,744.42","","0.19%"
"05/26/2021","1,745.77","1,741.58","1,746.74","1,741.19","","0.20%"
"05/25/2021","1,742.26","1,738.72","1,743.16","1,738.42","","0.27%"
"05/24/2021","1,737.64","1,735.45","1,739.56","1,734.92","","0.03%"
"05/21/2021","1,737.05","1,736.05","1,739.07","1,735.03","","0.15%"
"05/20/2021","1,734.50","1,733.95","1,736.52","1,731.92","","0.00%"
"05/19/2021","1,734.58","1,736.89","1,739.50","1,732.57","","-0.15%"
"05/18/2021","1,737.24","1,731.50","1,738.67","1,731.03","","0.28%"
"05/17/2021","1,732.40","1,734.15","1,734.35","1,728.45","","-0.09%"
"05/14/2021","1,733.93","1,731.39","1,735.86","1,730.52","","0.17%"
"05/13/2021","1,730.97","1,728.10","1,731.89","1,727.32","","-0.19%"
"05/12/2021","1,734.20","1,737.75","1,737.83","1,727.81","","-0.21%"
"05/11/2021","1,737.77","1,740.83","1,740.99","1,735.79","","-0.21%"
"05/10/2021","1,741.49","1,740.28","1,743.68","1,738.86","","0.39%"
"05/07/2021","1,734.67","1,730.08","1,741.34","1,729.51","","0.42%"
"05/06/2021","1,727.48","1,724.58","1,730.29","1,723.10","","0.16%"
"05/05/2021","1,724.71","1,723.16","1,724.71","1,721.02","","0.09%"
"05/04/2021","1,723.17","1,724.61","1,724.72","1,720.49","","-0.05%"
"05/03/2021","1,724.08","1,724.42","1,725.23","1,721.20","","-0.06%"
"04/30/2021","1,725.10","1,729.16","1,729.91","1,722.92","","-0.23%"
"04/29/2021","1,729.07","1,727.94","1,731.69","1,726.85","","0.27%"
"04/28/2021","1,724.41","1,722.86","1,727.69","1,721.96","","0.04%"
"04/27/2021","1,723.66","1,724.40","1,725.62","1,722.29","","0.05%"
"04/26/2021","1,722.75","1,719.30","1,724.48","1,718.67","","0.31%"
"04/23/2021","1,717.49","1,717.11","1,720.16","1,716.13","","-0.01%"
"04/22/2021","1,717.60","1,715.17","1,718.28","1,714.87","","0.13%"
"04/21/2021","1,715.40","1,714.45","1,715.40","1,712.74","","-0.12%"
"04/20/2021","1,717.43","1,715.36","1,720.21","1,713.28","","0.19%"
"04/19/2021","1,714.17","1,711.42","1,715.44","1,710.12","","0.16%"
"04/16/2021","1,711.49","1,711.00","1,713.07","1,707.71","","0.17%"
"04/15/2021","1,708.63","1,707.30","1,710.95","1,702.62","","0.16%"
"04/14/2021","1,705.98","1,702.25","1,706.71","1,701.60","","0.36%"
"04/13/2021","1,699.81","1,699.92","1,702.20","1,697.21","","-0.02%"
"04/12/2021","1,700.20","1,700.16","1,701.54","1,697.69","","-0.04%"
"04/09/2021","1,700.85","1,704.80","1,705.57","1,700.00","","-0.23%"
"04/08/2021","1,704.73","1,704.57","1,705.17","1,701.67","","-0.05%"
"04/07/2021","1,705.51","1,706.63","1,708.41","1,703.01","","0.05%"
"04/06/2021","1,704.70","1,702.24","1,706.48","1,701.32","","0.24%"
"04/05/2021","1,700.68","1,698.62","1,702.56","1,697.78","","0.11%"
"04/02/2021","1,698.73","1,699.26","1,700.68","1,698.02","","0.01%"
"04/01/2021","1,698.61","1,702.15","1,702.35","1,696.10","","-0.09%"
"03/31/2021","1,700.17","1,694.98","1,702.23","1,694.24","","0.30%"
"03/30/2021","1,695.05","1,696.55","1,697.07","1,692.71","","-0.11%"
"03/29/2021","1,696.95","1,700.01","1,700.18","1,693.98","","-0.21%"
"03/26/2021","1,700.56","1,699.67","1,702.14","1,698.40","","0.03%"
"03/25/2021","1,699.99","1,702.69","1,702.87","1,697.06","","-0.23%"
"03/24/2021","1,703.88","1,705.72","1,706.69","1,701.75","","-0.31%"
"03/23/2021","1,709.20","1,712.42","1,712.64","1,705.34","","-0.05%"
"03/22/2021","1,710.00","1,710.71","1,712.05","1,709.40","","-0.08%"
"03/19/2021","1,711.41","1,710.17","1,712.42","1,707.12","","-0.11%"
"03/18/2021","1,713.21","1,714.72","1,716.07","1,708.77","","0.25%"
"03/17/2021","1,709.01","1,711.23","1,714.56","1,707.82","","-0.18%"
"03/16/2021","1,712.02","1,711.23","1,712.99","1,709.65","","0.16%"
"03/15/2021","1,709.25","1,709.72","1,712.28","1,707.56","","-0.03%"
"03/12/2021","1,709.83","1,714.62","1,716.16","1,706.86","","-0.04%"
"03/11/2021","1,710.55","1,706.30","1,714.19","1,704.66","","0.52%"
"03/10/2021","1,701.67","1,702.26","1,706.20","1,697.90","","0.19%"
"03/09/2021","1,698.40","1,696.34","1,703.11","1,693.02","","-0.13%"
"03/08/2021","1,700.67","1,706.69","1,708.46","1,694.36","","-0.57%"
"03/05/2021","1,710.39","1,710.86","1,713.00","1,705.67","","-0.41%"
"03/04/2021","1,717.40","1,716.46","1,718.08","1,711.52","","-0.02%"
"03/03/2021","1,717.78","1,715.88","1,720.51","1,714.19","","0.18%"
"03/02/2021","1,714.72","1,717.41","1,717.81","1,712.85","","-0.17%"
"03/01/2021","1,717.61","1,713.44","1,719.00","1,713.13","","0.10%"
"02/26/2021","1,715.92","1,719.93","1,720.15","1,711.45","","-0.59%"
"02/25/2021","1,726.16","1,729.85","1,730.89","1,718.79","","-0.09%"
"02/24/2021","1,727.69","1,726.53","1,731.31","1,726.10","","0.05%"
"02/23/2021","1,726.86","1,724.83","1,726.86","1,722.72","","0.22%"
"02/22/2021","1,723.10","1,727.83","1,728.51","1,720.78","","-0.25%"
"02/19/2021","1,727.40","1,724.64","1,729.44","1,723.65","","0.18%"
"02/18/2021","1,724.32","1,726.82","1,728.73","1,722.01","","-0.19%"
"02/17/2021","1,727.68","1,727.45","1,727.68","1,724.51","","-0.21%"
"02/16/2021","1,731.39","1,730.38","1,732.12","1,726.28","","-0.07%"
"02/15/2021","1,732.65","1,728.60","1,732.65","1,728.42","","0.18%"
"02/12/2021","1,729.57","1,728.14","1,729.57","1,725.64","","0.02%"
"02/11/2021","1,729.14","1,725.67","1,729.14","1,725.30","","0.07%"
"02/10/2021","1,727.99","1,727.03","1,729.67","1,725.27","","0.25%"
"02/09/2021","1,723.60","1,723.52","1,727.10","1,722.47","","0.09%"
"02/08/2021","1,722.11","1,720.30","1,723.51","1,719.26","","0.24%"
"02/05/2021","1,718.03","1,716.86","1,720.96","1,713.21","","0.05%"
"02/04/2021","1,717.18","1,720.88","1,721.21","1,715.17","","-0.19%"
"02/03/2021","1,720.45","1,721.00","1,721.89","1,718.71","","0.06%"
"02/02/2021","1,719.50","1,716.22","1,720.89","1,715.38","","0.20%"
"02/01/2021","1,716.00","1,718.98","1,719.91","1,714.50","","-0.07%"
"01/29/2021","1,717.21","1,717.91","1,721.79","1,713.52","","0.21%"
"01/28/2021","1,713.62","1,715.59","1,719.31","1,710.41","","-0.28%"
"01/27/2021","1,718.37","1,721.95","1,722.09","1,713.79","","-0.06%"
"01/26/2021","1,719.35","1,717.55","1,721.73","1,714.10","","0.13%"
"01/25/2021","1,717.14","1,716.71","1,719.38","1,715.57","","-0.05%"
"01/22/2021","1,717.92","1,724.92","1,724.96","1,716.09","","-0.39%"
"01/21/2021","1,724.66","1,726.34","1,727.49","1,722.20","","0.01%"
"01/20/2021","1,724.42","1,721.24","1,725.47","1,720.56","","0.25%"
"01/19/2021","1,720.17","1,718.69","1,722.54","1,717.90","","0.06%"
"01/18/2021","1,719.06","1,719.65","1,720.05","1,715.05","","-0.15%"
"01/15/2021","1,721.67","1,724.92","1,725.76","1,718.51","","-0.16%"
"01/14/2021","1,724.46","1,721.25","1,725.36","1,719.76","","0.07%"
"01/13/2021","1,723.28","1,722.83","1,724.49","1,720.06","","0.29%"
"01/12/2021","1,718.34","1,714.07","1,722.70","1,713.32","","0.19%"
"01/11/2021","1,715.06","1,719.16","1,719.30","1,711.74","","-0.37%"
"01/08/2021","1,721.38","1,717.53","1,723.38","1,716.15","","-0.07%"
"01/07/2021","1,722.54","1,725.89","1,727.60","1,716.92","","-0.21%"
"01/06/2021","1,726.14","1,727.05","1,729.73","1,724.25","","0.03%"
"01/05/2021","1,725.55","1,725.98","1,732.15","1,722.84","","-0.22%"
"01/04/2021","1,729.39","1,721.56","1,731.69","1,720.99","","0.56%"
"01/01/2021","1,719.84","1,721.04","1,721.39","1,719.84","","0.01%"
"12/31/2020","1,719.74","1,720.15","1,722.25","1,717.75","","-0.02%"
"12/30/2020","1,720.12","1,717.10","1,721.19","1,716.69","","0.13%"
"12/29/2020","1,717.81","1,714.52","1,718.22","1,714.14","","0.23%"
"12/28/2020","1,713.84","1,713.86","1,716.80","1,713.10","","-0.04%"
"12/25/2020","1,714.52","1,714.43","1,716.32","1,713.30","","0.01%"
"12/24/2020","1,714.41","1,710.77","1,714.41","1,710.32","","0.21%"
"12/23/2020","1,710.82","1,709.09","1,712.31","1,707.42","","0.07%"
"12/22/2020","1,709.68","1,711.68","1,712.16","1,708.52","","-0.09%"
"12/21/2020","1,711.14","1,715.14","1,715.43","1,705.15","","-0.31%"
"12/18/2020","1,716.43","1,719.18","1,719.22","1,716.09","","-0.15%"
"12/17/2020","1,719.08","1,716.88","1,719.24","1,716.51","","0.21%"
"12/16/2020","1,715.48","1,716.83","1,718.55","1,714.37","","0.09%"
"12/15/2020","1,714.02","1,712.55","1,716.53","1,710.87","","-0.01%"
"12/14/2020","1,714.23","1,713.59","1,716.52","1,711.73","","-0.01%"
"12/11/2020","1,714.34","1,715.28","1,716.70","1,712.32","","-0.01%"
"12/10/2020","1,714.47","1,712.22","1,715.35","1,710.45","","-0.03%"
"12/09/2020","1,715.02","1,714.67","1,718.10","1,710.50","","-0.08%"
"12/08/2020","1,716.33","1,714.01","1,716.33","1,712.62","","0.11%"
"12/07/2020","1,714.50","1,713.04","1,715.66","1,709.11","","0.09%"
"12/04/2020","1,713.01","1,707.71","1,713.76","1,707.41","","0.42%"
"12/03/2020","1,705.83","1,701.14","1,709.67","1,701.00","","0.35%"
"12/02/2020","1,699.93","1,699.19","1,702.61","1,697.92","","0.10%"
"12/01/2020","1,698.29","1,692.33","1,698.82","1,692.02","","0.37%"
"11/30/2020","1,692.09","1,695.06","1,696.37","1,691.39","","-0.15%"
"11/27/2020","1,694.57","1,695.15","1,696.33","1,692.71","","-0.10%"
"11/26/2020","1,696.25","1,695.43","1,697.69","1,694.46","","0.17%"
"11/25/2020","1,693.35","1,692.04","1,696.03","1,691.35","","0.10%"
"11/24/2020","1,691.63","1,688.06","1,691.78","1,687.97","","0.05%"
"11/23/2020","1,690.82","1,691.67","1,693.82","1,687.12","","-0.04%"
"11/20/2020","1,691.58","1,690.60","1,692.97","1,689.92","","0.13%"
"11/19/2020","1,689.38","1,693.18","1,693.30","1,685.94","","-0.46%"
"11/18/2020","1,697.11","1,694.00","1,697.87","1,692.92","","0.24%"
"11/17/2020","1,693.07","1,689.40","1,694.15","1,689.36","","0.23%"
"11/16/2020","1,689.17","1,684.20","1,689.79","1,684.08","","0.55%"
"11/13/2020","1,679.97","1,680.86","1,684.31","1,678.43","","-0.04%"
"11/12/2020","1,680.67","1,681.09","1,683.20","1,678.53","","-0.09%"
"11/11/2020","1,682.19","1,681.38","1,686.06","1,679.11","","-0.12%"
"11/10/2020","1,684.27","1,681.21","1,685.65","1,678.91","","-0.28%"
"11/09/2020","1,689.06","1,681.12","1,691.40","1,680.56","","0.65%"
"11/06/2020","1,678.09","1,677.68","1,680.86","1,673.74","","0.35%"
"11/05/2020","1,672.25","1,666.56","1,677.91","1,664.07","","0.90%"
"11/04/2020","1,657.36","1,659.46","1,667.56","1,645.31","","-0.10%"
"11/03/2020","1,659.06","1,655.91","1,660.65","1,655.02","","0.27%"
"11/02/2020","1,654.56","1,655.31","1,656.90","1,653.85","","-0.04%"
"10/30/2020","1,655.16","1,655.01","1,658.30","1,652.98","","0.09%"
"10/29/2020","1,653.62","1,651.88","1,656.29","1,651.24","","-0.10%"
"10/28/2020","1,655.26","1,658.91","1,659.58","1,651.00","","-0.32%"
"10/27/2020","1,660.50","1,658.91","1,663.23","1,658.58","","-0.07%"
"10/26/2020","1,661.59","1,662.76","1,663.29","1,656.88","","-0.12%"
"10/23/2020","1,663.55","1,661.34","1,666.17","1,660.15","","-0.03%"
"10/22/2020","1,664.03","1,664.24","1,664.79","1,659.32","","-0.04%"
"10/21/2020","1,664.75","1,659.80","1,666.09","1,659.73","","0.32%"
"10/20/2020","1,659.36","1,657.99","1,661.06","1,656.58","","0.12%"
"10/19/2020","1,657.45","1,654.80","1,659.06","1,654.18","","0.20%"
"10/16/2020","1,654.14","1,651.01","1,655.78","1,650.25","","0.22%"
"10/15/2020","1,650.55","1,653.12","1,653.83","1,648.01","","-0.10%"
"10/14/2020","1,652.21","1,649.21","1,654.52","1,649.15","","0.05%"
"10/13/2020","1,651.34","1,652.03","1,653.70","1,648.09","","-0.12%"
"10/12/2020","1,653.40","1,658.39","1,658.41","1,649.95","","-0.12%"
"10/09/2020","1,655.33","1,645.50","1,659.88","1,645.24","","0.77%"
"10/08/2020","1,642.73","1,643.11","1,645.47","1,642.13","","0.13%"
"10/07/2020","1,640.55","1,639.47","1,644.15","1,639.11","","-0.10%"
"10/06/2020","1,642.20","1,643.63","1,644.39","1,639.30","","0.16%"
"10/05/2020","1,639.50","1,637.86","1,644.00","1,637.86","","0.23%"
"10/02/2020","1,635.74","1,639.32","1,639.32","1,635.74","","0.00%"
"10/01/2020","1,635.79","1,636.86","1,641.26","1,635.79","","0.15%"
"09/30/2020","1,633.26","1,630.45","1,636.82","1,628.64","","0.28%"
"09/29/2020","1,628.65","1,628.35","1,630.93","1,626.00","","0.10%"
"09/28/2020","1,627.06","1,627.07","1,631.12","1,626.43","","-0.06%"
"09/25/2020","1,627.98","1,629.23","1,632.55","1,624.11","","0.07%"
"09/24/2020","1,626.79","1,629.97","1,631.02","1,623.56","","-0.48%"
"09/23/2020","1,634.60","1,640.28","1,640.72","1,629.46","","-0.36%"
"09/22/2020","1,640.46","1,639.70","1,644.38","1,637.86","","-0.10%"
"09/21/2020","1,642.16","1,646.45","1,650.87","1,636.89","","-0.46%"
"09/18/2020","1,649.70","1,648.03","1,652.92","1,645.61","","0.22%"
"09/17/2020","1,646.00","1,647.52","1,647.96","1,643.23","","-0.04%"
"09/16/2020","1,646.72","1,641.44","1,648.89","1,641.00","","0.27%"
"09/15/2020","1,642.27","1,637.54","1,644.39","1,637.24","","0.41%"
"09/14/2020","1,635.52","1,632.28","1,637.67","1,632.28","","0.18%"
"09/11/2020","1,632.57","1,630.96","1,633.41","1,630.45","","0.02%"
"09/10/2020","1,632.25","1,632.84","1,634.71","1,630.52","","0.10%"
"09/09/2020","1,630.63","1,626.22","1,633.30","1,624.93","","0.11%"
"09/08/2020","1,628.85","1,631.45","1,632.51","1,624.83","","-0.16%"
"09/07/2020","1,631.44","1,631.03","1,633.05","1,630.17","","0.03%"
"09/04/2020","1,630.87","1,629.11","1,632.07","1,628.73","","0.02%"
"09/03/2020","1,630.60","1,629.98","1,631.53","1,627.63","","-0.03%"
"09/02/2020","1,631.06","1,633.52","1,633.57","1,628.03","","-0.25%"
"09/01/2020","1,635.14","1,627.18","1,635.14","1,626.98","","0.56%"
"08/31/2020","1,626.04","1,629.85","1,631.67","1,626.04","","-0.04%"
"08/28/2020","1,626.66","1,618.44","1,629.22","1,617.64","","0.46%"
"08/27/2020","1,619.25","1,618.81","1,621.88","1,616.57","","0.09%"
"08/26/2020","1,617.73","1,616.76","1,619.45","1,616.54","","0.12%"
"08/25/2020","1,615.77","1,614.00","1,616.74","1,613.94","","0.07%"
"08/24/2020","1,614.68","1,610.97","1,616.34","1,610.52","","0.14%"
"08/21/2020","1,612.37","1,613.77","1,615.19","1,609.12","","0.11%"
"08/20/2020","1,610.52","1,613.49","1,613.80","1,609.03","","-0.41%"
"08/19/2020","1,617.09","1,615.52","1,618.28","1,614.01","","0.18%"
"08/18/2020","1,614.19","1,611.86","1,617.14","1,610.98","","0.16%"
"08/17/2020","1,611.57","1,612.01","1,613.91","1,611.25","","-0.06%"
"08/14/2020","1,612.57","1,613.36","1,613.85","1,610.72","","-0.04%"
"08/13/2020","1,613.15","1,612.66","1,613.57","1,610.79","","0.14%"
"08/12/2020","1,610.92","1,612.54","1,613.03","1,609.71","","-0.01%"
"08/11/2020","1,611.12","1,607.58","1,613.07","1,606.65","","0.19%"
"08/10/2020","1,608.01","1,606.47","1,609.88","1,606.11","","-0.04%"
"08/07/2020","1,608.65","1,612.38","1,613.04","1,605.54","","-0.24%"
"08/06/2020","1,612.60","1,615.42","1,616.78","1,610.60","","-0.09%"
"08/05/2020","1,613.99","1,609.06","1,616.70","1,609.05","","0.45%"
"08/04/2020","1,606.75","1,608.34","1,608.95","1,604.35","","-0.07%"
"08/03/2020","1,607.87","1,611.08","1,611.83","1,605.99","","-0.26%"
"07/31/2020","1,612.07","1,612.04","1,615.42","1,609.95","","0.14%"
"07/30/2020","1,609.84","1,613.39","1,614.46","1,608.32","","-0.23%"
"07/29/2020","1,613.49","1,611.61","1,614.97","1,611.44","","0.13%"
"07/28/2020","1,611.33","1,614.42","1,616.63","1,610.52","","-0.12%"
"07/27/2020","1,613.28","1,606.83","1,614.08","1,606.83","","0.39%"
"07/24/2020","1,607.05","1,608.16","1,609.18","1,604.69","","-0.26%"
"07/23/2020","1,611.17","1,611.89","1,613.84","1,607.18","","-0.13%"
"07/22/2020","1,613.20","1,614.40","1,616.34","1,609.14","","0.16%"
"07/21/2020","1,610.61","1,607.22","1,614.88","1,606.31","","0.35%"
"07/20/2020","1,605.00","1,604.33","1,606.74","1,602.16","","0.10%"
"07/17/2020","1,603.32","1,604.92","1,605.25","1,602.42","","-0.06%"
"07/16/2020","1,604.33","1,606.24","1,606.24","1,602.86","","-0.19%"
"07/15/2020","1,607.31","1,603.11","1,608.03","1,603.08","","0.49%"
"07/14/2020","1,599.41","1,603.09","1,603.09","1,598.22","","-0.36%"
"07/13/2020","1,605.17","1,604.32","1,606.51","1,603.02","","0.11%"
"07/10/2020","1,603.48","1,605.36","1,605.36","1,600.69","","-0.21%"
"07/09/2020","1,606.81","1,605.39","1,609.20","1,604.29","","0.30%"
